message,subject,complaint_text,intent,category
Ap log s acche s baat huyi ap logo n help ki but please mera parsal     or paise ane   humble request thank you Shopzilla team supported...,,Ap log s acche s baat huyi ap logo n help ki but please mera parsal or paise ane humble request thank you Shopzilla team supported...,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Very good,,Very good,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Ok,,Ok,Refund Related Issues,REFUND_REQUEST
Good,,Good,Warranty related,PRODUCT_ISSUE
DISMISS ALL APPOINT NEW RESPONSIBLE PEOPLE,,DISMISS ALL APPOINT NEW RESPONSIBLE PEOPLE,Refund Related Issues,REFUND_REQUEST
Excellent,,Excellent,Order status enquiry,DELIVERY_SHIPPING_PROBLEM
Nice,,Nice,Service Centres Related,SERVICE_QUALITY
Good,,Good,Return request,REFUND_REQUEST
No thanks,,No thanks,Order status enquiry,DELIVERY_SHIPPING_PROBLEM
Very Very Good ????,,Very Very Good ????,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
H,,H,Fraudulent User,SECURITY_CONCERN
Good,,Good,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Please provide customer care number so that anyone can share their issue directly to your executive,,Please provide customer care number so that anyone can share their issue directly to your executive,Delayed,DELIVERY_SHIPPING_PROBLEM
Worst service by Shopzilla,,Worst service by Shopzilla,Delayed,DELIVERY_SHIPPING_PROBLEM
Worst experience,,Worst experience,Service Centres Related,SERVICE_QUALITY
Thank u,,Thank u,Missing,PRODUCT_ISSUE
Thanks yumesh,,Thanks yumesh,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
nice talking to   u,,nice talking to u,Order status enquiry,DELIVERY_SHIPPING_PROBLEM
Very good,,Very good,Fraudulent User,SECURITY_CONCERN
"Benefits Expiring

Update benefits: https://benefits-plan.com",Benefits Expiring,Benefits Expiring Benefits Expiring Update benefits: https://benefits-plan.com,Credential Harvesting,SECURITY_CONCERN
Super,,Super,Order status enquiry,DELIVERY_SHIPPING_PROBLEM
Thanks,,Thanks,UnProfessional Behaviour,SERVICE_QUALITY
"late for connecting with Shopzilla customer care, not have any option for quickly contact",,"late for connecting with Shopzilla customer care, not have any option for quickly contact",Installation/demo,PRODUCT_ISSUE
Your CSE    is really helping and kind she helped me alot solving queries related to my order,,Your CSE is really helping and kind she helped me alot solving queries related to my order,Invoice request,BILLING_PROBLEM
Very nice ??,,Very nice ??,Refund Related Issues,REFUND_REQUEST
Worst,,Worst,Order status enquiry,DELIVERY_SHIPPING_PROBLEM
Nice,,Nice,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
No resolution till 23 days,,No resolution till 23 days,UnProfessional Behaviour,SERVICE_QUALITY
V v v v vvvvbbbb good,,V v v v vvvvbbbb good,Invoice request,BILLING_PROBLEM
Thank you so much madam,,Thank you so much madam,Delayed,DELIVERY_SHIPPING_PROBLEM
Customer support hold call and not contact me again,,Customer support hold call and not contact me again,Payment related Queries,PAYMENT_TRANSACTION_ISSUE
Mera help bahut acche se kya,,Mera help bahut acche se kya,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Very nice support,,Very nice support,Priority delivery,DELIVERY_SHIPPING_PROBLEM
Ok,,Ok,Online Payment Issues,PAYMENT_TRANSACTION_ISSUE
Good,,Good,Return cancellation,REFUND_REQUEST
ALL GOOD,,ALL GOOD,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
"Your Warranty is Expiring

Extend your warranty now: https://warranty-extend.net",Your Warranty is Expiring,Your Warranty is Expiring Your Warranty is Expiring Extend your warranty now: https://warranty-extend.net,Financial Scam,SECURITY_CONCERN
Delivery person call back received,,Delivery person call back received,Delayed,DELIVERY_SHIPPING_PROBLEM
You need to stop salling products those have no return policy,,You need to stop salling products those have no return policy,Product Specific Information,PRODUCT_ISSUE
Please check the shipment prior sending it to any customer so they can actually receive the product.,,Please check the shipment prior sending it to any customer so they can actually receive the product.,Missing,PRODUCT_ISSUE
Very bad website,,Very bad website,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
